model,total_samples,measured_toc_mean,measured_toc_median,measured_toc_std,predicted_toc_mean,predicted_toc_median,predicted_toc_std,mean_error,rmse,n_predicted_toc_above_1,perc_predicted_toc_above_1
predicted_COT_model_8_XGB,85,0.46,0.444,0.173,0.781,0.732,0.256,0.321,0.422,11,12.941
predicted_COT_model_8_FFNN,85,0.46,0.444,0.173,0.79,0.765,0.141,0.329,0.391,8,9.412
predicted_COT_model_8_XGB,85,0.46,0.444,0.173,0.781,0.732,0.256,0.321,0.422,11,12.941
predicted_COT_model_8_FFNN,85,0.46,0.444,0.173,0.79,0.765,0.141,0.329,0.391,8,9.412
