model,total_samples,measured_toc_mean,measured_toc_median,measured_toc_std,predicted_toc_mean,predicted_toc_median,predicted_toc_std,mean_error,rmse,n_predicted_toc_above_1,perc_predicted_toc_above_1
predicted_COT_model_8_XGB,12,0.609,0.52,0.187,1.239,0.949,0.44,0.63,0.833,5,41.667
predicted_COT_model_8_FFNN,12,0.609,0.52,0.187,1.071,1.087,0.027,0.462,0.504,12,100.0
predicted_COT_model_8_XGB,12,0.609,0.52,0.187,1.239,0.949,0.44,0.63,0.833,5,41.667
predicted_COT_model_8_FFNN,12,0.609,0.52,0.187,1.071,1.087,0.027,0.462,0.504,12,100.0
