model,total_samples,measured_toc_mean,measured_toc_median,measured_toc_std,predicted_toc_mean,predicted_toc_median,predicted_toc_std,mean_error,rmse,n_predicted_toc_above_1,perc_predicted_toc_above_1
predicted_COT_model_8_XGB,138,0.453,0.4,0.254,0.896,0.877,0.283,0.443,0.602,34,24.638
predicted_COT_model_8_FFNN,138,0.453,0.4,0.254,0.819,0.825,0.166,0.366,0.466,20,14.493
predicted_COT_model_8_XGB,138,0.453,0.4,0.254,0.896,0.877,0.283,0.443,0.602,34,24.638
predicted_COT_model_8_FFNN,138,0.453,0.4,0.254,0.819,0.825,0.166,0.366,0.466,20,14.493
