,model,total_samples,measured_toc_mean,measured_toc_median,measured_toc_std,predicted_toc_mean,predicted_toc_median,predicted_toc_std,mean_error,rmse,n_predicted_toc_above_1,perc_predicted_toc_above_1,Modelo,Poço
0,predicted_COT_model_8_XGB,89,0.466,0.445,0.173,0.814,0.748,0.329,0.348,0.48,13,14.607,model_8,dataset_B
1,predicted_COT_model_8_FFNN,89,0.466,0.445,0.173,0.805,0.765,0.191,0.339,0.412,10,11.236,model_8,dataset_B
2,predicted_COT_model_8_XGB,89,0.466,0.445,0.173,0.814,0.748,0.329,0.348,0.48,13,14.607,model_8,dataset_B
3,predicted_COT_model_8_FFNN,89,0.466,0.445,0.173,0.805,0.765,0.191,0.339,0.412,10,11.236,model_8,dataset_B
