,model,total_samples,measured_toc_mean,measured_toc_median,measured_toc_std,predicted_toc_mean,predicted_toc_median,predicted_toc_std,mean_error,rmse,n_predicted_toc_above_1,perc_predicted_toc_above_1,Modelo,Poço
0,predicted_COT_model_5_FFNN,103,0.483,0.47,0.229,0.673,0.621,0.294,0.19,0.362,10,9.709,model_5,dataset_C
1,predicted_COT_model_5_XGB,103,0.483,0.47,0.229,0.5,0.49,0.23,0.017,0.066,1,0.971,model_5,dataset_C
2,predicted_COT_model_5_FFNN,103,0.483,0.47,0.229,0.673,0.621,0.294,0.19,0.362,10,9.709,model_5,dataset_C
3,predicted_COT_model_5_XGB,103,0.483,0.47,0.229,0.5,0.49,0.23,0.017,0.066,1,0.971,model_5,dataset_C
4,predicted_COT_model_5_FFNN,103,0.483,0.47,0.229,0.673,0.621,0.294,0.19,0.362,10,9.709,model_5,dataset_C
5,predicted_COT_model_5_XGB,103,0.483,0.47,0.229,0.5,0.49,0.23,0.017,0.066,1,0.971,model_5,dataset_C
