,model,total_samples,measured_toc_mean,measured_toc_median,measured_toc_std,predicted_toc_mean,predicted_toc_median,predicted_toc_std,mean_error,rmse,n_predicted_toc_above_1,perc_predicted_toc_above_1,Modelo,Poço
0,predicted_COT_model_3_FFNN,216,0.367,0.323,0.247,1.453,1.192,0.986,1.086,1.48,135,62.5,model_3,dataset_E
1,predicted_COT_model_3_XGB,216,0.367,0.323,0.247,1.424,1.223,0.865,1.056,1.397,131,60.648,model_3,dataset_E
2,predicted_COT_model_3_FFNN,216,0.367,0.323,0.247,1.453,1.192,0.986,1.086,1.48,135,62.5,model_3,dataset_E
3,predicted_COT_model_3_XGB,216,0.367,0.323,0.247,1.424,1.223,0.865,1.056,1.397,131,60.648,model_3,dataset_E
4,predicted_COT_model_3_FFNN,216,0.367,0.323,0.247,1.453,1.192,0.986,1.086,1.48,135,62.5,model_3,dataset_E
5,predicted_COT_model_3_XGB,216,0.367,0.323,0.247,1.424,1.223,0.865,1.056,1.397,131,60.648,model_3,dataset_E
