model,total_samples,measured_toc_mean,measured_toc_median,measured_toc_std,predicted_toc_mean,predicted_toc_median,predicted_toc_std,mean_error,rmse,n_predicted_toc_above_1,perc_predicted_toc_above_1
predicted_COT_model_4_FFNN,3,0.148,0.145,0.05,0.807,0.79,0.4,0.659,0.729,1,33.333
predicted_COT_model_4_XGB,3,0.148,0.145,0.05,0.949,1.054,0.458,0.801,0.874,2,66.667
predicted_COT_model_4_FFNN,3,0.148,0.145,0.05,0.807,0.79,0.4,0.659,0.729,1,33.333
predicted_COT_model_4_XGB,3,0.148,0.145,0.05,0.949,1.054,0.458,0.801,0.874,2,66.667
