model,total_samples,measured_toc_mean,measured_toc_median,measured_toc_std,predicted_toc_mean,predicted_toc_median,predicted_toc_std,mean_error,rmse,n_predicted_toc_above_1,perc_predicted_toc_above_1
predicted_COT_model_10_FFNN,85,0.46,0.444,0.173,0.713,0.678,0.143,0.253,0.322,4,4.706
predicted_COT_model_10_XGB,85,0.46,0.444,0.173,0.657,0.607,0.26,0.197,0.33,6,7.059
predicted_COT_model_10_FFNN,85,0.46,0.444,0.173,0.713,0.678,0.143,0.253,0.322,4,4.706
predicted_COT_model_10_XGB,85,0.46,0.444,0.173,0.657,0.607,0.26,0.197,0.33,6,7.059
