model,total_samples,measured_toc_mean,measured_toc_median,measured_toc_std,predicted_toc_mean,predicted_toc_median,predicted_toc_std,mean_error,rmse,n_predicted_toc_above_1,perc_predicted_toc_above_1
predicted_COT_model_7_XGB,17,0.617,0.58,0.279,0.872,0.885,0.212,0.255,0.419,4,23.529
predicted_COT_model_7_FFNN,17,0.617,0.58,0.279,0.926,0.897,0.255,0.31,0.535,4,23.529
predicted_COT_model_7_XGB,16,0.6,0.58,0.279,0.869,0.871,0.219,0.269,0.431,4,25.0
predicted_COT_model_7_FFNN,16,0.6,0.58,0.279,0.92,0.887,0.262,0.321,0.55,3,18.75
