,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_9_XGB,dataset_F,-0.8649,-0.617,2.2325,1.7116,0.7559,0.843,2880.839,241,model_9,dataset_F
1,model_9_FFNN,dataset_F,-0.5409,-0.5343,2.0293,1.5608,0.6996,0.7997,2928.2879,241,model_9,dataset_F
