,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_2_XGB,dataset_B,0.8149,0.6474,1.428,0.8467,0.2914,0.4103,71.9977,142,model_2,dataset_B
1,model_2_FFNN,dataset_B,0.7825,0.6317,1.5478,0.8722,0.2912,0.3947,81.0052,142,model_2,dataset_B
