,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_4_FFNN,dataset_B,0.4491,0.5551,2.4637,1.2707,0.389,0.4983,111.6409,142,model_4,dataset_B
1,model_4_XGB,dataset_B,0.2009,0.4987,2.9671,1.4346,0.4181,0.5623,104.4932,142,model_4,dataset_B
