,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_10_FFNN,dataset_F,0.2291,0.1783,1.4354,0.7846,0.3781,0.4555,1116.6537,241,model_10,dataset_F
1,model_10_XGB,dataset_F,0.1831,0.1936,1.4776,0.7884,0.3746,0.473,1016.9658,241,model_10,dataset_F
