,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_8_XGB,dataset_A,0.1051,0.1279,0.8062,0.546,0.2401,0.3264,57.1112,267,model_8,dataset_A
1,model_8_FFNN,dataset_A,-0.0884,0.0576,0.889,0.5898,0.2583,0.3446,57.6877,267,model_8,dataset_A
