,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_10_FFNN,dataset_C,0.118,0.3219,0.8949,0.4975,0.2261,0.3105,94.5231,142,model_10,dataset_C
1,model_10_XGB,dataset_C,-2.363,0.156,1.7474,0.8033,0.2793,0.4119,125.2932,142,model_10,dataset_C
