,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_1_FFNN,dataset_C,-1.326,-0.5073,1.4533,0.8575,0.3535,0.4789,115.7413,142,model_1,dataset_C
1,model_1_XGB,dataset_C,-0.184,-0.1311,1.0368,0.5609,0.2216,0.3125,68.4785,142,model_1,dataset_C
