,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_9_XGB,dataset_A,-0.1664,0.066,0.9204,0.604,0.2558,0.3481,64.5899,267,model_9,dataset_A
1,model_9_FFNN,dataset_A,-1.8146,-2.3801,1.4297,0.9637,0.4324,0.5752,97.7367,267,model_9,dataset_A
