,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_8_XGB,dataset_E,-0.1431,-0.2036,1.1907,0.7798,0.3972,0.471,674.0601,273,model_8,dataset_E
1,model_8_FFNN,dataset_E,-0.0894,-0.1543,1.1624,0.7428,0.3824,0.455,634.8206,273,model_8,dataset_E
