,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_2_XGB,dataset_D,0.2599,0.4081,2.1867,1.0584,0.4006,0.5254,264.9367,165,model_2,dataset_D
1,model_2_FFNN,dataset_D,0.0658,0.2369,2.4567,1.1724,0.4768,0.6257,309.5009,165,model_2,dataset_D
