,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_11_XGB,dataset_D,0.3784,0.6571,2.004,0.7053,0.2493,0.418,152.9528,165,model_11,dataset_D
1,model_11_FFNN,dataset_D,0.4129,0.6504,1.9475,0.709,0.265,0.4064,148.467,165,model_11,dataset_D
