,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_5_FFNN,dataset_B,0.0237,0.451,3.2796,1.4791,0.4067,0.6215,69.1624,142,model_5,dataset_B
1,model_5_XGB,dataset_B,0.0921,0.3641,3.1626,1.4192,0.3997,0.6073,66.486,142,model_5,dataset_B
