,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_10_FFNN,dataset_B,0.1281,0.562,3.0993,1.4135,0.383,0.5561,74.6629,142,model_10,dataset_B
1,model_10_XGB,dataset_B,0.6497,0.7783,1.9645,0.9019,0.2493,0.3491,59.7358,142,model_10,dataset_B
