,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_10_FFNN,dataset_E,-0.0557,-0.0528,1.1443,0.6854,0.3517,0.4368,580.6972,273,model_10,dataset_E
1,model_10_XGB,dataset_E,-0.1443,-0.0913,1.1913,0.7252,0.3675,0.4563,599.1622,273,model_10,dataset_E
