,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_6_XGB,dataset_E,-0.1065,-0.2005,1.1715,0.7748,0.3974,0.4665,659.4843,273,model_6,dataset_E
1,model_6_FFNN,dataset_E,-0.1364,-0.2025,1.1872,0.7882,0.4018,0.4733,648.5252,273,model_6,dataset_E
