,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_11_XGB,dataset_C,-2.5114,0.0195,1.7855,0.9198,0.3141,0.4608,110.2985,142,model_11,dataset_C
1,model_11_FFNN,dataset_C,-11.4093,-0.6963,3.3566,1.5067,0.4454,0.6395,217.8438,142,model_11,dataset_C
