,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_6_XGB,dataset_A,-0.2783,-0.2121,0.9635,0.634,0.283,0.3849,57.9809,267,model_6,dataset_A
1,model_6_FFNN,dataset_A,-0.3124,-0.2252,0.9763,0.6281,0.2808,0.3898,55.4193,267,model_6,dataset_A
