model,total_samples,measured_toc_mean,measured_toc_median,measured_toc_std,predicted_toc_mean,predicted_toc_median,predicted_toc_std,mean_error,rmse,n_predicted_toc_above_1,perc_predicted_toc_above_1
predicted_COT_model_9_XGB,74,0.316,0.246,0.232,1.615,1.265,0.896,1.3,1.623,52,70.27
predicted_COT_model_9_FFNN,74,0.316,0.246,0.232,1.77,1.566,1.037,1.454,1.818,56,75.676
predicted_COT_model_9_XGB,74,0.316,0.246,0.232,1.615,1.265,0.896,1.3,1.623,52,70.27
predicted_COT_model_9_FFNN,74,0.316,0.246,0.232,1.77,1.566,1.037,1.454,1.818,56,75.676
