,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_10_FFNN,dataset_D,-0.474,-0.0984,1.851,1.2679,0.4619,0.5809,80.1742,47,model_10,dataset_D
1,model_10_XGB,dataset_D,-0.7456,-0.5123,2.0143,1.4464,0.54,0.662,89.5718,47,model_10,dataset_D
