,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_7_XGB,dataset_A,0.0249,0.1836,1.4354,1.0742,0.4726,0.5417,244.2275,103,model_7,dataset_A
1,model_7_FFNN,dataset_A,-0.0519,0.1441,1.4909,1.1265,0.4932,0.5612,248.982,103,model_7,dataset_A
