,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_6_XGB,dataset_B,-0.1047,0.2031,2.0337,1.1966,0.4415,0.5687,160.9445,258,model_6,dataset_B
1,model_6_FFNN,dataset_B,-0.1543,0.1276,2.0789,1.2499,0.4665,0.5956,171.4117,258,model_6,dataset_B
