,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_7_XGB,dataset_C,-1.213,-3.3021,1.7925,1.3376,0.4352,0.5372,46.9037,22,model_7,dataset_C
1,model_7_FFNN,dataset_C,-0.5954,-1.29,1.5219,1.1261,0.3465,0.4155,38.2161,22,model_7,dataset_C
