,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_3_FFNN,dataset_C,-0.6452,-2.6795,1.5455,1.2697,0.4273,0.477,47.517,22,model_3,dataset_C
1,model_3_XGB,dataset_C,-0.7342,-2.3178,1.5867,1.2552,0.416,0.4712,46.0638,22,model_3,dataset_C
