,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_10_FFNN,dataset_B,-0.2433,0.1059,2.1575,1.2161,0.4555,0.627,112.1818,258,model_10,dataset_B
1,model_10_XGB,dataset_B,-0.2466,0.0808,2.1604,1.2381,0.4664,0.634,109.9381,258,model_10,dataset_B
