,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_11_XGB,dataset_A,-0.2797,0.0343,1.6445,1.2121,0.5122,0.6065,300.2863,103,model_11,dataset_A
1,model_11_FFNN,dataset_A,-0.1021,0.0166,1.5261,1.0696,0.4602,0.5565,243.607,103,model_11,dataset_A
