,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_1_FFNN,dataset_A,-0.0418,0.1454,1.4837,1.1423,0.4937,0.5907,271.9632,103,model_1,dataset_A
1,model_1_XGB,dataset_A,-0.1712,0.1999,1.5732,1.1295,0.4811,0.5934,192.4787,103,model_1,dataset_A
