,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_6_XGB,dataset_D,-0.4615,-0.0889,1.8431,1.2756,0.462,0.5793,84.6902,47,model_6,dataset_D
1,model_6_FFNN,dataset_D,-0.3734,0.0156,1.7867,1.2138,0.4318,0.5479,86.1673,47,model_6,dataset_D
