,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_5_FFNN,dataset_D,-0.3258,0.0438,1.8798,1.2543,0.4575,0.5808,96.4282,35,model_5,dataset_D
1,model_5_XGB,dataset_D,-0.3645,-0.4134,1.907,1.2335,0.4749,0.6406,96.1793,35,model_5,dataset_D
