,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_8_XGB,dataset_C,-1.451,-4.1656,1.8864,1.4689,0.4941,0.5799,50.2836,22,model_8,dataset_C
1,model_8_FFNN,dataset_C,-1.0474,-2.295,1.7241,1.3407,0.4302,0.4926,46.3225,22,model_8,dataset_C
