,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_10_FFNN,dataset_C,-1.6075,-4.7044,1.9457,1.6074,0.559,0.6077,58.5028,22,model_10,dataset_C
1,model_10_XGB,dataset_C,-1.7036,-6.6394,1.9812,1.645,0.5933,0.6514,60.9459,22,model_10,dataset_C
