,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_5_FFNN,dataset_A,-0.0393,0.3573,1.4819,1.0051,0.428,0.5285,145.1121,103,model_5,dataset_A
1,model_5_XGB,dataset_A,-0.1988,0.2286,1.5916,1.058,0.4522,0.58,157.2666,103,model_5,dataset_A
