,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_1_FFNN,dataset_C,-1.7662,-5.5789,2.004,1.7792,0.5618,0.6128,76.8164,22,model_1,dataset_C
1,model_1_XGB,dataset_C,-2.3788,-4.8826,2.2148,1.8102,0.5554,0.6261,80.3047,22,model_1,dataset_C
