,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_4_FFNN,dataset_A,-0.03,0.1337,1.4753,1.1546,0.4958,0.5607,288.5484,103,model_4,dataset_A
1,model_4_XGB,dataset_A,-0.0035,0.1776,1.4562,1.1012,0.4814,0.5388,250.9253,103,model_4,dataset_A
