,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_7_XGB,dataset_B,-0.1723,0.1629,2.095,1.2059,0.4475,0.5975,139.7006,258,model_7,dataset_B
1,model_7_FFNN,dataset_B,-0.2082,0.1083,2.1269,1.2122,0.4523,0.6116,132.9479,258,model_7,dataset_B
