,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_11_XGB,dataset_D,-0.373,-0.4295,1.913,1.3649,0.5267,0.6369,111.108,35,model_11,dataset_D
1,model_11_FFNN,dataset_D,-0.2684,-0.9889,1.8386,1.2971,0.5116,0.623,108.51,35,model_11,dataset_D
