,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_11_XGB,dataset_C,-2.2482,-7.8031,2.1716,1.7702,0.5905,0.6962,65.8019,22,model_11,dataset_C
1,model_11_FFNN,dataset_C,-3.3438,-4.1795,2.5113,1.8211,0.5792,0.7208,67.6367,22,model_11,dataset_C
