,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_2_XGB,dataset_A,-0.3078,0.1272,1.6624,1.218,0.5247,0.6485,215.5107,103,model_2,dataset_A
1,model_2_FFNN,dataset_A,-0.3372,0.1807,1.681,1.1637,0.4864,0.5941,245.1141,103,model_2,dataset_A
