,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_11_XGB,dataset_B,0.0574,0.1238,1.8786,1.1966,0.4457,0.5547,205.1414,258,model_11,dataset_B
1,model_11_FFNN,dataset_B,-0.1014,0.0818,2.0307,1.219,0.4519,0.586,137.3715,258,model_11,dataset_B
