,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,model_10_FFNN,dataset_A,-0.0461,0.3202,1.4868,1.036,0.4441,0.5312,168.2155,103,model_10,dataset_A
1,model_10_XGB,dataset_A,-0.1366,0.2949,1.5497,1.0483,0.4482,0.5587,164.916,103,model_10,dataset_A
