model,total_samples,measured_toc_mean,measured_toc_median,measured_toc_std,predicted_toc_mean,predicted_toc_median,predicted_toc_std,mean_error,rmse,n_predicted_toc_above_1,perc_predicted_toc_above_1
predicted_COT_model_6_XGB,61,0.33,0.28,0.219,0.973,0.952,0.236,0.643,0.706,25,40.984
predicted_COT_model_6_FFNN,61,0.33,0.28,0.219,1.108,1.1,0.28,0.779,0.844,38,62.295
