model,total_samples,measured_toc_mean,measured_toc_median,measured_toc_std,predicted_toc_mean,predicted_toc_median,predicted_toc_std,mean_error,rmse,n_predicted_toc_above_1,perc_predicted_toc_above_1
predicted_COT_model_1_FFNN,61,0.33,0.28,0.219,1.083,0.791,0.834,0.753,1.121,23,37.705
predicted_COT_model_1_XGB,61,0.33,0.28,0.219,0.884,0.557,0.702,0.554,0.88,23,37.705
