model,total_samples,measured_toc_mean,measured_toc_median,measured_toc_std,predicted_toc_mean,predicted_toc_median,predicted_toc_std,mean_error,rmse,n_predicted_toc_above_1,perc_predicted_toc_above_1
predicted_COT_model_11_XGB,216,0.367,0.323,0.247,1.256,1.069,0.937,0.889,1.311,121,56.019
predicted_COT_model_11_FFNN,216,0.367,0.323,0.247,1.279,0.938,1.254,0.911,1.567,102,47.222
predicted_COT_model_11_XGB,216,0.367,0.323,0.247,1.256,1.069,0.937,0.889,1.311,121,56.019
predicted_COT_model_11_FFNN,216,0.367,0.323,0.247,1.279,0.938,1.254,0.911,1.567,102,47.222
