model,total_samples,measured_toc_mean,measured_toc_median,measured_toc_std,predicted_toc_mean,predicted_toc_median,predicted_toc_std,mean_error,rmse,n_predicted_toc_above_1,perc_predicted_toc_above_1
predicted_COT_model_7_XGB,138,0.453,0.4,0.254,0.842,0.815,0.259,0.39,0.549,28,20.29
predicted_COT_model_7_FFNN,138,0.453,0.4,0.254,0.817,0.781,0.223,0.364,0.492,29,21.014
predicted_COT_model_7_XGB,138,0.453,0.4,0.254,0.842,0.815,0.259,0.39,0.549,28,20.29
predicted_COT_model_7_FFNN,138,0.453,0.4,0.254,0.817,0.781,0.223,0.364,0.492,29,21.014
