,Unnamed: 0.1,Unnamed: 0,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
82,82,0,model_7_XGB,dataset_E,-0.2881,-0.2168,1.264,0.8133,0.4062,0.4888,633.5469,273,model_7,dataset_E
84,84,0,model_6_XGB,dataset_A,-0.2783,-0.2121,0.9635,0.634,0.283,0.3849,57.9809,267,model_6,dataset_A
85,85,1,model_6_FFNN,dataset_A,-0.3124,-0.2252,0.9763,0.6281,0.2808,0.3898,55.4193,267,model_6,dataset_A
88,88,0,model_1_FFNN,dataset_A,-1.6347,-0.5961,1.3832,0.8205,0.3287,0.4703,109.4667,267,model_1,dataset_A
89,89,1,model_1_XGB,dataset_A,-0.1903,-0.5803,0.9297,0.6508,0.2888,0.3834,83.2752,267,model_1,dataset_A
90,90,0,model_11_XGB,dataset_C,-2.5114,0.0195,1.7855,0.9198,0.3141,0.4608,110.2985,142,model_11,dataset_C
102,102,0,model_1_FFNN,dataset_F,0.5963,0.2138,1.0388,0.6492,0.3386,0.4306,1023.0173,241,model_1,dataset_F
106,106,0,model_8_XGB,dataset_C,0.1603,0.1797,0.8732,0.5297,0.2546,0.3348,114.4385,142,model_8,dataset_C
107,107,1,model_8_FFNN,dataset_C,0.1357,0.2053,0.8859,0.5109,0.2487,0.331,103.4944,142,model_8,dataset_C
108,108,0,model_5_FFNN,dataset_A,0.0631,-0.021,0.8248,0.5809,0.2614,0.339,63.0661,267,model_5,dataset_A
109,109,1,model_5_XGB,dataset_A,-0.3829,0.1232,1.0022,0.536,0.2087,0.3431,70.2374,267,model_5,dataset_A
110,110,0,model_3_FFNN,dataset_F,0.2708,0.077,1.396,0.8715,0.4216,0.4919,1432.0704,241,model_3,dataset_F
111,111,1,model_3_XGB,dataset_F,0.3183,0.0823,1.3498,0.8438,0.417,0.4744,1273.5057,241,model_3,dataset_F
112,112,0,model_1_FFNN,dataset_C,-1.326,-0.5073,1.4533,0.8575,0.3535,0.4789,115.7413,142,model_1,dataset_C
113,113,1,model_1_XGB,dataset_C,-0.184,-0.1311,1.0368,0.5609,0.2216,0.3125,68.4785,142,model_1,dataset_C
114,114,0,model_8_XGB,dataset_A,0.1051,0.1279,0.8062,0.546,0.2401,0.3264,57.1112,267,model_8,dataset_A
115,115,1,model_8_FFNN,dataset_A,-0.0884,0.0576,0.889,0.5898,0.2583,0.3446,57.6877,267,model_8,dataset_A
121,121,1,model_7_FFNN,dataset_C,0.1275,0.2622,0.8901,0.5216,0.2441,0.3231,98.568,142,model_7,dataset_C
128,128,0,model_8_XGB,dataset_E,-0.1431,-0.2036,1.1907,0.7798,0.3972,0.471,674.0601,273,model_8,dataset_E
129,129,1,model_8_FFNN,dataset_E,-0.0894,-0.1543,1.1624,0.7428,0.3824,0.455,634.8206,273,model_8,dataset_E
