model,total_samples,measured_toc_mean,measured_toc_median,measured_toc_std,predicted_toc_mean,predicted_toc_median,predicted_toc_std,mean_error,rmse,n_predicted_toc_above_1,perc_predicted_toc_above_1
predicted_COT_model_4_FFNN,103,0.483,0.47,0.229,1.203,0.982,1.551,0.72,1.714,50,48.544
predicted_COT_model_4_XGB,103,0.483,0.47,0.229,0.999,0.965,0.501,0.515,0.742,44,42.718
predicted_COT_model_4_FFNN,103,0.483,0.47,0.229,1.203,0.982,1.551,0.72,1.714,50,48.544
predicted_COT_model_4_XGB,103,0.483,0.47,0.229,0.999,0.965,0.501,0.515,0.742,44,42.718
predicted_COT_model_4_FFNN,103,0.483,0.47,0.229,1.203,0.982,1.551,0.72,1.714,50,48.544
predicted_COT_model_4_XGB,103,0.483,0.47,0.229,0.999,0.965,0.501,0.515,0.742,44,42.718
