model,total_samples,measured_toc_mean,measured_toc_median,measured_toc_std,predicted_toc_mean,predicted_toc_median,predicted_toc_std,mean_error,rmse,n_predicted_toc_above_1,perc_predicted_toc_above_1
predicted_COT_model_1_FFNN,137,0.196,0.155,0.126,0.543,0.549,0.256,0.347,0.45,4,2.92
predicted_COT_model_1_XGB,137,0.196,0.155,0.126,0.449,0.375,0.332,0.254,0.429,3,2.19
predicted_COT_model_1_FFNN,137,0.196,0.155,0.126,0.543,0.549,0.256,0.347,0.45,4,2.92
predicted_COT_model_1_XGB,137,0.196,0.155,0.126,0.449,0.375,0.332,0.254,0.429,3,2.19
predicted_COT_model_1_FFNN,137,0.196,0.155,0.126,0.543,0.549,0.256,0.347,0.45,4,2.92
predicted_COT_model_1_XGB,137,0.196,0.155,0.126,0.449,0.375,0.332,0.254,0.429,3,2.19
predicted_COT_model_1_FFNN,137,0.196,0.155,0.126,0.543,0.549,0.256,0.347,0.45,4,2.92
predicted_COT_model_1_XGB,137,0.196,0.155,0.126,0.449,0.375,0.332,0.254,0.429,3,2.19
