model,total_samples,measured_toc_mean,measured_toc_median,measured_toc_std,predicted_toc_mean,predicted_toc_median,predicted_toc_std,mean_error,rmse,n_predicted_toc_above_1,perc_predicted_toc_above_1
predicted_COT_model_10_FFNN,138,0.453,0.4,0.254,0.678,0.69,0.161,0.226,0.374,4,2.899
predicted_COT_model_10_XGB,138,0.453,0.4,0.254,0.652,0.643,0.216,0.199,0.386,8,5.797
predicted_COT_model_10_FFNN,138,0.453,0.4,0.254,0.678,0.69,0.161,0.226,0.374,4,2.899
predicted_COT_model_10_XGB,138,0.453,0.4,0.254,0.652,0.643,0.216,0.199,0.386,8,5.797
