Unnamed: 0,DEPTH,DT,GR,NPHI,RHOB,COT
100,5663.84,61.7493333333333,33.9513333333333,4.561,2.532,
101,5663.89,61.3496666666667,33.7496666666667,4.569,2.536,
102,5663.94,60.95,33.548,4.577,2.539,
103,5663.99,60.6496666666667,33.281,4.57733333333333,2.543,
104,5664.04,60.3493333333333,33.014,4.57766666666667,2.546,
105,5664.09,60.049,32.747,4.578,2.549,
106,5664.14,60.1793333333333,33.2696666666667,4.67266666666667,2.552,
107,5664.2,60.3096666666667,33.7923333333333,4.76733333333333,2.553,
108,5664.25,60.44,34.315,4.862,2.553,
109,5664.3,60.4506666666667,35.2013333333333,5.093,2.554,
110,5664.35,60.4613333333333,36.0876666666667,5.324,2.553,
111,5664.4,60.472,36.974,5.555,2.552,
112,5664.45,60.537,37.89,5.71633333333333,2.551,
113,5664.5,60.602,38.806,5.87766666666667,2.551,
114,5664.55,60.667,39.722,6.039,2.551,
115,5664.6,60.7303333333333,40.3433333333333,6.15533333333333,2.55,
116,5664.65,60.7936666666667,40.9646666666667,6.27166666666667,2.548,
117,5664.7,60.857,41.586,6.388,2.544,
118,5664.75,60.92725,41.009,6.18866666666667,2.538,
119,5664.8,60.9975,40.432,5.98933333333333,2.532,
120,5664.85,61.06775,39.855,5.79,2.5295,
121,5664.86,61.138,39.50675,5.72875,2.527,
122,5664.91,61.526,39.1585,5.6675,2.521,
123,5664.96,61.914,38.81025,5.60625,2.515,
124,5665.01,62.302,38.462,5.545,2.51,
125,5665.06,62.4883333333333,37.713,5.36366666666667,2.506,
126,5665.11,62.6746666666667,36.964,5.18233333333333,2.505,
127,5665.16,62.861,36.215,5.001,2.506,
128,5665.21,62.6623333333333,37.007,4.89633333333333,2.509,
129,5665.26,62.4636666666667,37.799,4.79166666666667,2.513,
130,5665.31,62.265,38.591,4.687,2.518,
131,5665.36,62.24975,38.119,4.55966666666667,2.521,
132,5665.41,62.2345,37.647,4.43233333333333,2.523,
133,5665.46,62.21925,37.175,4.305,2.5235,
134,5665.47,62.204,36.8275,4.25775,2.524,
135,5665.52,62.5793333333333,36.48,4.2105,2.524,
136,5665.57,62.9546666666667,36.1325,4.16325,2.524,
137,5665.62,63.33,35.785,4.116,2.524,
138,5665.67,63.1176666666667,34.7266666666667,4.10866666666667,2.523,
139,5665.72,62.9053333333333,33.6683333333333,4.10133333333333,2.523,
140,5665.77,62.693,32.61,4.094,2.523,
141,5665.82,62.1026666666667,32.87,4.17233333333333,2.523,
142,5665.87,61.5123333333333,33.13,4.25066666666667,2.524,
143,5665.92,60.922,33.39,4.329,2.525,
144,5665.97,60.86675,33.7173333333333,4.324,2.526,
145,5666.02,60.8115,34.0446666666667,4.319,2.525,
146,5666.07,60.75625,34.372,4.314,2.524,
147,5666.08,60.701,34.176,4.33275,2.524,
148,5666.13,60.7853333333333,33.98,4.3515,2.524,
149,5666.18,60.8696666666667,33.784,4.37025,2.526,
150,5666.23,60.954,33.588,4.389,2.528,
151,5666.28,61.1143333333333,33.5776666666667,4.378,2.53,
152,5666.33,61.2746666666667,33.5673333333333,4.367,2.532,
153,5666.38,61.435,33.557,4.356,2.535,
154,5666.43,61.1923333333333,33.4306666666667,4.443,2.538,
155,5666.48,60.9496666666667,33.3043333333333,4.53,2.542,
156,5666.53,60.707,33.178,4.617,2.547,
157,5666.58,60.5255,33.9276666666667,4.67066666666667,2.551,
158,5666.63,60.344,34.6773333333333,4.72433333333333,2.554,
159,5666.68,60.1625,35.427,4.778,2.556,
160,5666.69,59.981,35.3115,4.822,2.5575,
161,5666.74,59.9786666666667,35.196,4.866,2.559,
162,5666.79,59.9763333333333,35.0805,4.91,2.562,
163,5666.84,59.974,34.965,4.954,2.566,
164,5666.89,60.3856666666667,34.973,4.87866666666667,2.571,
165,5666.94,60.7973333333333,34.981,4.80333333333333,2.576,
166,5666.99,61.209,34.989,4.728,2.58,
167,5667.04,61.9683333333333,34.867,4.591,2.58,
168,5667.09,62.7276666666667,34.745,4.454,2.579,
169,5667.14,63.487,34.623,4.317,2.575,
170,5667.19,64.1156666666667,34.9246666666667,4.211,2.57,
171,5667.24,64.7443333333333,35.2263333333333,4.105,2.565,
172,5667.29,65.373,35.528,3.999,2.559,
173,5667.34,65.4593333333333,35.486,4.21666666666667,2.552,
174,5667.4,65.5456666666667,35.444,4.43433333333333,2.546,
175,5667.45,65.632,35.402,4.652,2.54,
176,5667.5,65.7113333333333,35.1816666666667,4.94666666666667,2.536,
177,5667.55,65.7906666666667,34.9613333333333,5.24133333333333,2.533,
178,5667.6,65.87,34.741,5.536,2.53,
179,5667.65,66.175,33.4566666666667,5.56033333333333,2.528,
180,5667.7,66.48,32.1723333333333,5.58466666666667,2.524,
181,5667.75,66.785,30.888,5.609,2.519,
182,5667.8,66.8423333333333,30.137,5.537,2.512,
183,5667.85,66.8996666666667,29.386,5.465,2.504,
184,5667.9,66.957,28.635,5.393,2.494,
185,5667.95,66.909,28.2203333333333,5.636,2.485,
186,5668.01,66.861,27.8056666666667,5.879,2.476,
187,5668.06,66.813,27.391,6.122,2.468,
188,5668.11,66.6143333333333,28.507,6.55533333333333,2.463,
189,5668.16,66.4156666666667,29.623,6.98866666666667,2.462,
190,5668.21,66.217,30.739,7.422,2.464,
191,5668.26,66.1676666666667,31.8663333333333,7.675,2.471,
192,5668.31,66.1183333333333,32.9936666666667,7.928,2.479,
193,5668.36,66.069,34.121,8.181,2.486,
194,5668.41,66.377,34.9576666666667,8.109,2.492,
195,5668.46,66.685,35.7943333333333,8.037,2.498,
196,5668.51,66.993,36.631,7.965,2.502,
197,5668.56,67.1625,36.5416666666667,7.86166666666667,2.504,
198,5668.61,67.332,36.4523333333333,7.75833333333333,2.503,
199,5668.66,67.5015,36.363,7.655,2.5005,
200,5668.67,67.671,36.0145,7.4585,2.498,
