Unnamed: 0,DEPTH,DT,GR,NPHI,RHOB,COT
121,2140.91,87.838,27.12,36.418,2.2725,
122,2141,87.453,26.884,35.504,2.282,
123,2141.06,87.0605,26.648,34.803,2.2855,
124,2141.2,86.668,26.4785,34.102,2.289,
125,2141.22,86.401,26.309,33.872,2.291,
126,2141.37,86.134,26.012,33.642,2.293,
127,2141.4,85.867,25.8605,33.412,2.295,
128,2141.52,85.5755,25.709,33.3085,2.2885,
129,2141.6,85.284,25.5695,33.205,2.282,
130,2141.67,85.4095,25.43,33.3265,2.279,
131,2141.8,85.535,25.3125,33.448,2.276,
132,2141.83,85.7213333333333,25.195,33.468,2.27733333333333,
133,2141.98,85.9076666666667,25.052,33.488,2.27866666666667,
134,2142,86.094,25.0055,33.508,2.28,
135,2142.13,86.0355,24.959,33.219,2.287,
136,2142.2,85.977,24.893,32.93,2.294,
137,2142.28,85.4475,24.827,32.635,2.3015,
138,2142.4,84.918,24.726,32.34,2.309,
139,2142.43,84.59,24.625,32.0533333333333,2.311,
140,2142.59,84.262,24.318,31.7666666666667,2.313,
141,2142.6,83.934,24.12,31.48,2.315,
142,2142.74,83.012,23.922,30.959,2.313,
143,2142.8,82.09,23.72,30.438,2.311,
144,2142.89,80.752,23.518,30.185,2.3085,
145,2143,79.414,23.3255,29.932,2.306,
146,2143.04,78.2795,23.133,30.1595,2.304,
147,2143.2,77.145,22.793,30.387,2.302,
148,2143.35,77.3265,22.73,30.9085,2.302,
149,2143.4,77.508,22.752,31.43,2.302,
150,2143.5,78.412,22.774,31.846,2.303,
151,2143.6,79.316,22.754,32.262,2.304,
152,2143.65,79.826,22.734,32.3875,2.3035,
153,2143.8,80.336,22.615,32.513,2.303,
154,2143.81,80.259,22.496,32.3056666666667,2.30466666666667,
155,2143.96,80.182,22.44,32.0983333333333,2.30633333333333,
156,2144,80.105,22.6825,31.891,2.308,
157,2144.11,79.8105,22.925,31.457,2.3135,
158,2144.2,79.516,23.226,31.023,2.319,
159,2144.26,79.344,23.527,30.804,2.32,
160,2144.4,79.172,23.748,30.585,2.321,
161,2144.42,79.3113333333333,23.969,30.7453333333333,2.31866666666667,
162,2144.57,79.4506666666667,23.856,30.9056666666667,2.31633333333333,
163,2144.6,79.59,23.8455,31.066,2.314,
164,2144.72,80.3985,23.835,31.5195,2.3095,
165,2144.8,81.207,23.9385,31.973,2.305,
166,2144.87,82.1915,24.042,32.3105,2.302,
167,2145,83.176,24.2305,32.648,2.299,0.12
168,2145.03,83.6146666666667,24.419,32.6326666666667,2.302,
169,2145.18,84.0533333333333,24.664,32.6173333333333,2.305,
170,2145.2,84.492,24.54,32.602,2.308,
171,2145.33,84.7045,24.416,32.727,2.311,
172,2145.4,84.917,24.231,32.852,2.314,
173,2145.48,85.101,24.046,33.5725,2.305,
174,2145.6,85.285,23.8935,34.293,2.296,
175,2145.64,85.7966666666667,23.741,34.759,2.28466666666667,
176,2145.79,86.3083333333333,23.753,35.225,2.27333333333333,
