model,total_samples,measured_toc_mean,measured_toc_median,measured_toc_std,predicted_toc_mean,predicted_toc_median,predicted_toc_std,mean_error,rmse,n_predicted_toc_above_1,perc_predicted_toc_above_1
predicted_COT_model_4_FFNN,138,0.453,0.4,0.254,1.29,1.189,0.532,0.838,1.041,89,64.493
predicted_COT_model_4_XGB,138,0.453,0.4,0.254,0.975,0.965,0.282,0.522,0.659,56,40.58
predicted_COT_model_4_FFNN,138,0.453,0.4,0.254,1.29,1.189,0.532,0.838,1.041,89,64.493
predicted_COT_model_4_XGB,138,0.453,0.4,0.254,0.975,0.965,0.282,0.522,0.659,56,40.58
