model,total_samples,measured_toc_mean,measured_toc_median,measured_toc_std,predicted_toc_mean,predicted_toc_median,predicted_toc_std,mean_error,rmse,n_predicted_toc_above_1,perc_predicted_toc_above_1
predicted_COT_model_11_XGB,12,0.609,0.52,0.187,0.642,0.617,0.124,0.033,0.216,0,0.0
predicted_COT_model_11_FFNN,12,0.609,0.52,0.187,1.508,1.496,0.123,0.899,0.927,12,100.0
predicted_COT_model_11_XGB,12,0.609,0.52,0.187,0.642,0.617,0.124,0.033,0.216,0,0.0
predicted_COT_model_11_FFNN,12,0.609,0.52,0.187,1.508,1.496,0.123,0.899,0.927,12,100.0
