,Unnamed: 0,model,total_samples,measured_toc_mean,measured_toc_median,measured_toc_std,predicted_toc_mean,predicted_toc_median,predicted_toc_std,mean_error,rmse,n_predicted_toc_above_1,perc_predicted_toc_above_1,Modelo,Poço
146,2,predicted_COT_model_5_FFNN,216,0.367,0.323,0.247,0.923,0.871,0.409,0.556,0.723,79,36.574,model_5,dataset_E
147,3,predicted_COT_model_5_XGB,216,0.367,0.323,0.247,0.973,0.909,0.513,0.606,0.828,78,36.111,model_5,dataset_E
148,4,predicted_COT_model_5_FFNN,216,0.367,0.323,0.247,0.923,0.871,0.409,0.556,0.723,79,36.574,model_5,dataset_E
149,5,predicted_COT_model_5_XGB,216,0.367,0.323,0.247,0.973,0.909,0.513,0.606,0.828,78,36.111,model_5,dataset_E
150,0,predicted_COT_model_2_XGB,137,0.196,0.155,0.126,0.623,0.528,0.489,0.427,0.647,9,6.569,model_2,dataset_D
151,1,predicted_COT_model_2_FFNN,137,0.196,0.155,0.126,0.681,0.676,0.227,0.485,0.553,10,7.299,model_2,dataset_D
152,2,predicted_COT_model_2_XGB,137,0.196,0.155,0.126,0.623,0.527,0.489,0.427,0.647,9,6.569,model_2,dataset_D
153,3,predicted_COT_model_2_FFNN,137,0.196,0.155,0.126,0.681,0.676,0.227,0.485,0.553,10,7.299,model_2,dataset_D
154,4,predicted_COT_model_2_XGB,137,0.196,0.155,0.126,0.623,0.527,0.489,0.427,0.647,9,6.569,model_2,dataset_D
155,5,predicted_COT_model_2_FFNN,137,0.196,0.155,0.126,0.681,0.676,0.227,0.485,0.553,10,7.299,model_2,dataset_D
156,0,predicted_COT_model_4_FFNN,89,0.466,0.445,0.173,1.055,0.908,0.627,0.59,0.833,37,41.573,model_4,dataset_B
157,1,predicted_COT_model_4_XGB,89,0.466,0.445,0.173,0.985,0.92,0.491,0.52,0.697,35,39.326,model_4,dataset_B
158,2,predicted_COT_model_4_FFNN,89,0.466,0.445,0.173,1.055,0.908,0.627,0.59,0.833,37,41.573,model_4,dataset_B
159,3,predicted_COT_model_4_XGB,89,0.466,0.445,0.173,0.985,0.92,0.491,0.52,0.697,35,39.326,model_4,dataset_B
160,4,predicted_COT_model_4_FFNN,89,0.466,0.445,0.173,1.055,0.908,0.627,0.59,0.833,37,41.573,model_4,dataset_B
161,5,predicted_COT_model_4_XGB,89,0.466,0.445,0.173,0.985,0.92,0.491,0.52,0.697,35,39.326,model_4,dataset_B
162,0,predicted_COT_model_9_XGB,103,0.483,0.47,0.229,1.243,1.044,0.412,0.76,0.902,69,66.99,model_9,dataset_C
163,1,predicted_COT_model_9_FFNN,103,0.483,0.47,0.229,0.969,0.838,0.898,0.486,1.022,41,39.806,model_9,dataset_C
164,2,predicted_COT_model_9_XGB,103,0.483,0.47,0.229,1.243,1.044,0.412,0.76,0.902,69,66.99,model_9,dataset_C
165,3,predicted_COT_model_9_FFNN,103,0.483,0.47,0.229,0.969,0.838,0.898,0.486,1.022,41,39.806,model_9,dataset_C
166,0,predicted_COT_model_3_FFNN,143,0.629,0.64,0.185,0.822,0.671,0.487,0.193,0.539,47,32.867,model_3,dataset_A
167,1,predicted_COT_model_3_XGB,143,0.629,0.64,0.185,1.274,1.297,0.495,0.645,0.86,99,69.231,model_3,dataset_A
168,2,predicted_COT_model_3_FFNN,143,0.629,0.64,0.185,0.822,0.671,0.487,0.193,0.539,47,32.867,model_3,dataset_A
169,3,predicted_COT_model_3_XGB,143,0.629,0.64,0.185,1.274,1.297,0.495,0.645,0.86,99,69.231,model_3,dataset_A
170,4,predicted_COT_model_3_FFNN,143,0.629,0.64,0.185,0.822,0.671,0.487,0.193,0.539,47,32.867,model_3,dataset_A
171,5,predicted_COT_model_3_XGB,143,0.629,0.64,0.185,1.274,1.297,0.495,0.645,0.86,99,69.231,model_3,dataset_A
172,0,predicted_COT_model_9_XGB,143,0.629,0.64,0.185,0.958,0.82,0.47,0.33,0.616,30,20.979,model_9,dataset_A
173,1,predicted_COT_model_9_FFNN,143,0.629,0.64,0.185,0.891,0.505,1.203,0.262,1.248,28,19.58,model_9,dataset_A
174,2,predicted_COT_model_9_XGB,143,0.629,0.64,0.185,0.958,0.82,0.47,0.33,0.616,30,20.979,model_9,dataset_A
175,3,predicted_COT_model_9_FFNN,143,0.629,0.64,0.185,0.891,0.505,1.203,0.262,1.248,28,19.58,model_9,dataset_A
176,0,predicted_COT_model_9_XGB,205,0.226,0.157,0.2,1.761,1.309,1.054,1.536,1.869,159,77.561,model_9,dataset_F
177,1,predicted_COT_model_9_FFNN,205,0.226,0.157,0.2,1.627,1.48,1.046,1.402,1.748,142,69.268,model_9,dataset_F
178,2,predicted_COT_model_9_XGB,205,0.226,0.157,0.2,1.761,1.309,1.054,1.536,1.869,159,77.561,model_9,dataset_F
179,3,predicted_COT_model_9_FFNN,205,0.226,0.157,0.2,1.627,1.48,1.046,1.402,1.748,142,69.268,model_9,dataset_F
180,0,predicted_COT_model_5_FFNN,205,0.226,0.157,0.2,0.493,0.417,0.234,0.268,0.374,10,4.878,model_5,dataset_F
181,1,predicted_COT_model_5_XGB,205,0.226,0.157,0.2,0.355,0.296,0.254,0.129,0.281,4,1.951,model_5,dataset_F
182,2,predicted_COT_model_5_FFNN,205,0.226,0.157,0.2,0.493,0.417,0.234,0.268,0.374,10,4.878,model_5,dataset_F
183,3,predicted_COT_model_5_XGB,205,0.226,0.157,0.2,0.355,0.296,0.254,0.129,0.281,4,1.951,model_5,dataset_F
184,4,predicted_COT_model_5_FFNN,205,0.226,0.157,0.2,0.493,0.417,0.234,0.268,0.374,10,4.878,model_5,dataset_F
185,5,predicted_COT_model_5_XGB,205,0.226,0.157,0.2,0.355,0.296,0.254,0.129,0.281,4,1.951,model_5,dataset_F
186,0,predicted_COT_model_1_FFNN,216,0.367,0.323,0.247,1.41,1.047,1.328,1.043,1.703,111,51.389,model_1,dataset_E
187,1,predicted_COT_model_1_XGB,216,0.367,0.323,0.247,1.302,0.762,1.342,0.934,1.654,89,41.204,model_1,dataset_E
188,2,predicted_COT_model_1_FFNN,216,0.367,0.323,0.247,1.41,1.047,1.328,1.043,1.703,111,51.389,model_1,dataset_E
189,3,predicted_COT_model_1_XGB,216,0.367,0.323,0.247,1.302,0.762,1.342,0.934,1.654,89,41.204,model_1,dataset_E
190,4,predicted_COT_model_1_FFNN,216,0.367,0.323,0.247,1.41,1.047,1.328,1.043,1.703,111,51.389,model_1,dataset_E
191,5,predicted_COT_model_1_XGB,216,0.367,0.323,0.247,1.302,0.762,1.342,0.934,1.654,89,41.204,model_1,dataset_E
192,6,predicted_COT_model_1_FFNN,216,0.367,0.323,0.247,1.41,1.047,1.328,1.043,1.703,111,51.389,model_1,dataset_E
193,7,predicted_COT_model_1_XGB,216,0.367,0.323,0.247,1.302,0.762,1.342,0.934,1.654,89,41.204,model_1,dataset_E
194,0,predicted_COT_model_2_XGB,89,0.466,0.445,0.173,0.664,0.528,0.728,0.198,0.702,8,8.989,model_2,dataset_B
195,1,predicted_COT_model_2_FFNN,89,0.466,0.445,0.173,0.811,0.714,0.76,0.345,0.8,9,10.112,model_2,dataset_B
196,2,predicted_COT_model_2_XGB,89,0.466,0.445,0.173,0.664,0.528,0.728,0.198,0.702,8,8.989,model_2,dataset_B
197,3,predicted_COT_model_2_FFNN,89,0.466,0.445,0.173,0.811,0.714,0.76,0.345,0.8,9,10.112,model_2,dataset_B
198,4,predicted_COT_model_2_XGB,89,0.466,0.445,0.173,0.664,0.528,0.728,0.198,0.702,8,8.989,model_2,dataset_B
199,5,predicted_COT_model_2_FFNN,89,0.466,0.445,0.173,0.811,0.714,0.76,0.345,0.8,9,10.112,model_2,dataset_B
200,6,predicted_COT_model_2_XGB,89,0.466,0.445,0.173,0.664,0.528,0.728,0.198,0.702,8,8.989,model_2,dataset_B
201,7,predicted_COT_model_2_FFNN,89,0.466,0.445,0.173,0.811,0.714,0.76,0.345,0.8,9,10.112,model_2,dataset_B
202,8,predicted_COT_model_2_XGB,89,0.466,0.445,0.173,0.664,0.528,0.728,0.198,0.702,8,8.989,model_2,dataset_B
203,9,predicted_COT_model_2_FFNN,89,0.466,0.445,0.173,0.811,0.714,0.76,0.345,0.8,9,10.112,model_2,dataset_B
204,0,predicted_COT_model_10_FFNN,89,0.466,0.445,0.173,0.752,0.678,0.328,0.287,0.433,6,6.742,model_10,dataset_B
205,1,predicted_COT_model_10_XGB,89,0.466,0.445,0.173,0.688,0.609,0.356,0.222,0.402,7,7.865,model_10,dataset_B
206,2,predicted_COT_model_10_FFNN,89,0.466,0.445,0.173,0.752,0.678,0.328,0.287,0.433,6,6.742,model_10,dataset_B
207,3,predicted_COT_model_10_XGB,89,0.466,0.445,0.173,0.688,0.609,0.356,0.222,0.402,7,7.865,model_10,dataset_B
208,0,predicted_COT_model_11_XGB,137,0.196,0.155,0.126,0.401,0.36,0.237,0.206,0.328,5,3.65,model_11,dataset_D
209,1,predicted_COT_model_11_FFNN,137,0.196,0.155,0.126,0.38,0.363,0.196,0.185,0.296,0,0.0,model_11,dataset_D
210,2,predicted_COT_model_11_XGB,137,0.196,0.155,0.126,0.401,0.36,0.237,0.206,0.328,5,3.65,model_11,dataset_D
211,3,predicted_COT_model_11_FFNN,137,0.196,0.155,0.126,0.38,0.363,0.196,0.185,0.296,0,0.0,model_11,dataset_D
212,0,predicted_COT_model_11_XGB,143,0.629,0.64,0.185,0.84,0.729,0.531,0.212,0.591,38,26.573,model_11,dataset_A
213,1,predicted_COT_model_11_FFNN,143,0.629,0.64,0.185,0.95,0.792,0.635,0.321,0.762,60,41.958,model_11,dataset_A
214,2,predicted_COT_model_11_XGB,143,0.629,0.64,0.185,0.84,0.729,0.531,0.212,0.591,38,26.573,model_11,dataset_A
215,3,predicted_COT_model_11_FFNN,143,0.629,0.64,0.185,0.95,0.792,0.635,0.321,0.762,60,41.958,model_11,dataset_A
216,0,predicted_COT_model_1_FFNN,89,0.466,0.445,0.173,0.79,0.485,0.961,0.324,1.002,21,23.596,model_1,dataset_B
217,1,predicted_COT_model_1_XGB,89,0.466,0.445,0.173,0.723,0.484,1.007,0.257,1.02,17,19.101,model_1,dataset_B
