,Unnamed: 0,Model,Dataset,R²,R²_log,RMSE,MAE,MALE,RMSLE,MAPE,N_points,Modelo,Poço
0,0,model_11_XGB,dataset_F,0.5829,0.4887,1.0559,0.476,0.2234,0.3349,506.9583,241,model_11,dataset_F
1,1,model_11_FFNN,dataset_F,0.4335,0.4359,1.2305,0.5992,0.2673,0.411,864.817,241,model_11,dataset_F
2,0,model_3_FFNN,dataset_E,-1.0917,-0.6516,1.6107,1.1558,0.5221,0.6336,998.2755,273,model_3,dataset_E
3,1,model_3_XGB,dataset_E,-0.9083,-0.6057,1.5385,1.0885,0.5052,0.6124,1065.9673,273,model_3,dataset_E
4,0,model_6_XGB,dataset_B,0.1019,0.5534,3.1456,1.4541,0.3982,0.5533,88.3089,142,model_6,dataset_B
5,1,model_6_FFNN,dataset_B,0.0117,0.4523,3.2996,1.5345,0.4352,0.6111,98.6835,142,model_6,dataset_B
6,0,model_7_XGB,dataset_F,0.4339,0.2129,1.23,0.6904,0.3429,0.4167,1138.0469,241,model_7,dataset_F
7,1,model_7_FFNN,dataset_F,0.2737,0.1093,1.3933,0.8244,0.4038,0.4691,1338.8983,241,model_7,dataset_F
8,0,model_5_FFNN,dataset_D,0.1276,0.6396,2.374,0.9218,0.312,0.4864,151.1061,165,model_5,dataset_D
9,1,model_5_XGB,dataset_D,0.9246,0.7283,0.698,0.4239,0.2013,0.2506,152.723,165,model_5,dataset_D
10,0,model_1_FFNN,dataset_D,0.9261,0.5308,0.6909,0.5066,0.2898,0.3497,238.5893,165,model_1,dataset_D
11,1,model_1_XGB,dataset_D,0.9124,0.6906,0.7525,0.4533,0.2249,0.301,172.6858,165,model_1,dataset_D
12,0,model_3_FFNN,dataset_D,0.1664,0.3443,2.3207,1.1225,0.4512,0.5509,319.6585,165,model_3,dataset_D
13,1,model_3_XGB,dataset_D,0.1136,0.3533,2.393,1.1498,0.4522,0.5582,312.2325,165,model_3,dataset_D
14,0,model_4_FFNN,dataset_C,-4.103,-0.2736,2.1525,0.9811,0.3579,0.4778,191.4336,142,model_4,dataset_C
15,1,model_4_XGB,dataset_C,-0.6162,-0.0306,1.2114,0.7225,0.3103,0.3922,146.4636,142,model_4,dataset_C
16,0,model_2_XGB,dataset_F,0.1001,0.0561,1.5508,0.8652,0.4115,0.5609,1072.0726,241,model_2,dataset_F
17,1,model_2_FFNN,dataset_F,0.4259,0.1738,1.2387,0.7736,0.3824,0.4577,1053.571,241,model_2,dataset_F
18,0,model_4_FFNN,dataset_F,-0.0475,-0.211,1.6732,1.1622,0.5546,0.6232,2165.4598,241,model_4,dataset_F
19,1,model_4_XGB,dataset_F,0.1606,-0.1152,1.4978,1.0025,0.5048,0.5587,1525.955,241,model_4,dataset_F
20,0,model_10_FFNN,dataset_E,-0.0557,-0.0528,1.1443,0.6854,0.3517,0.4368,580.6972,273,model_10,dataset_E
21,1,model_10_XGB,dataset_E,-0.1443,-0.0913,1.1913,0.7252,0.3675,0.4563,599.1622,273,model_10,dataset_E
22,0,model_2_XGB,dataset_A,-4.5853,-2.9915,2.014,1.2421,0.4916,0.6662,174.4108,267,model_2,dataset_A
23,1,model_2_FFNN,dataset_A,-4.6417,-1.0935,2.0241,1.1614,0.4174,0.5923,148.1767,267,model_2,dataset_A
24,0,model_8_XGB,dataset_D,0.1569,0.3515,2.3339,1.1109,0.4363,0.5471,326.0482,165,model_8,dataset_D
25,1,model_8_FFNN,dataset_D,0.0682,0.269,2.4535,1.1993,0.486,0.5902,349.2623,165,model_8,dataset_D
26,0,model_10_FFNN,dataset_F,0.2291,0.1783,1.4354,0.7846,0.3781,0.4555,1116.6537,241,model_10,dataset_F
27,1,model_10_XGB,dataset_F,0.1831,0.1936,1.4776,0.7884,0.3746,0.473,1016.9658,241,model_10,dataset_F
28,0,model_4_FFNN,dataset_A,-0.6269,-1.4717,1.087,0.7563,0.3556,0.4721,73.3089,267,model_4,dataset_A
29,1,model_4_XGB,dataset_A,-0.197,-0.1362,0.9324,0.6087,0.2711,0.3757,52.9141,267,model_4,dataset_A
30,0,model_10_FFNN,dataset_A,-0.3198,-0.447,0.979,0.6501,0.2988,0.4038,56.0917,267,model_10,dataset_A
31,1,model_10_XGB,dataset_A,-0.5013,-0.7239,1.0442,0.6769,0.3115,0.4325,57.2979,267,model_10,dataset_A
32,0,model_4_FFNN,dataset_E,-1.5279,-0.3295,1.7707,1.0097,0.4553,0.5712,682.1677,273,model_4,dataset_E
33,1,model_4_XGB,dataset_E,-0.3075,-0.2267,1.2735,0.8164,0.4066,0.4877,708.8665,273,model_4,dataset_E
34,0,model_3_FFNN,dataset_C,-1.8448,-0.0461,1.6072,0.9143,0.3449,0.4392,151.4626,142,model_3,dataset_C
35,1,model_3_XGB,dataset_C,-1.9304,-0.0795,1.6311,0.888,0.3421,0.4385,154.4739,142,model_3,dataset_C
36,0,model_9_XGB,dataset_D,-0.366,-0.4422,2.9708,2.0513,0.81,0.909,937.1462,165,model_9,dataset_D
37,1,model_9_FFNN,dataset_D,-0.249,-0.3906,2.8406,2.0434,0.7992,0.8947,885.97,165,model_9,dataset_D
38,0,model_8_XGB,dataset_F,0.2802,0.1283,1.387,0.8093,0.3924,0.4635,1269.0808,241,model_8,dataset_F
39,1,model_8_FFNN,dataset_F,0.1813,0.0785,1.4792,0.8746,0.425,0.4895,1352.308,241,model_8,dataset_F
40,0,model_3_FFNN,dataset_B,0.4224,0.5781,2.5227,1.2822,0.3747,0.4798,107.2179,142,model_3,dataset_B
41,1,model_3_XGB,dataset_B,0.4406,0.5946,2.4826,1.2608,0.3697,0.4692,103.3683,142,model_3,dataset_B
42,0,model_6_XGB,dataset_F,0.0308,-0.0951,1.6094,1.0273,0.5029,0.5728,1570.2195,241,model_6,dataset_F
43,1,model_6_FFNN,dataset_F,0.073,-0.1569,1.574,1.0726,0.53,0.5824,1773.3215,241,model_6,dataset_F
44,0,model_6_XGB,dataset_C,0.2792,0.1113,0.809,0.5446,0.2679,0.3327,126.9346,142,model_6,dataset_C
45,1,model_6_FFNN,dataset_C,0.1439,0.0751,0.8816,0.5432,0.2687,0.3465,127.2656,142,model_6,dataset_C
46,0,model_10_FFNN,dataset_C,0.118,0.3219,0.8949,0.4975,0.2261,0.3105,94.5231,142,model_10,dataset_C
47,1,model_10_XGB,dataset_C,-2.363,0.156,1.7474,0.8033,0.2793,0.4119,125.2932,142,model_10,dataset_C
48,0,model_7_XGB,dataset_A,0.3612,0.3678,0.6811,0.4533,0.1981,0.271,48.646,267,model_7,dataset_A
